id,year,published_date,label,full_title,doi,url,paradigm,secondary_paradigms,representation_class,chemistry_class,chemistry,data_size_bin,data_regime,validation_type,validation
"paper_noxyl_2025","2025","2025-03-24","Data-Driven Discovery of N-Oxyl HAT Catalysts","Data-Driven Workflow for the Development and Discovery of N -Oxyl Hydrogen Atom Transfer Catalysts","10.1021/acscentsci.4c01919","https://doi.org/10.1021/acscentsci.4c01919","Physical / interpretable","Ligand-space / screening","Physical / chemist descriptors","C–H functionalization","N-oxyl hydrogen-atom-transfer catalysts","unspecified","Catalyst library with physical descriptors and reactivity","mixed / unspecified","Discovery and experimental testing of new catalysts"
"paper_bismuth_2025","2025","2025-11-07","Statistical Modeling in Ligand-Controlled Bismuth Catalysis","Ligand-Controlled Chemodivergent Bismuth Catalysis","10.1021/jacs.5c11854","https://doi.org/10.1021/jacs.5c11854","Mechanistic ML","Physical / interpretable","Catalyst-state / mechanistic","Main-group catalysis","Ligand-controlled high-valent bismuth catalysis","unspecified","Ligand series plus mechanistic calculations and experiments","mixed / unspecified","Mechanistic model tied to alternative reductive-elimination pathways"
"paper_flexcat_2026","2026","2026-06-20","Flex-Cat Autonomous Homogeneous Catalysis","An autonomous lab for data-driven homogeneous catalysis","10.1038/s41467-026-74425-x","https://doi.org/10.1038/s41467-026-74425-x","Autonomous / HTE","Bayesian / active learning","Dataset / experimental loop","Hydroformylation","Rh-catalyzed hydroformylation","200–1000","680 experiments; 16 phosphorus ligands; mixed discrete/continuous search","autonomous closed-loop","Closed-loop optimization of activity and regioselectivity"
"paper_ai_homocat_review_2025","2025","2025-05-14","AI Approaches to Homogeneous Catalysis with Transition Metal Complexes","AI Approaches to Homogeneous Catalysis with Transition Metal Complexes","10.1021/acscatal.5c01202","https://doi.org/10.1021/acscatal.5c01202","Inverse / generative","","Overview / mixed","Ligand space / homogeneous method","Transition-metal homogeneous catalysis","n/a overview","Perspective across computational and experimental literature","n/a overview","N/A"
"paper_bestpractices_2026","2025","2025-12-19","ML in Homogeneous Catalysis: Basic Concepts and Best Practices","Machine Learning in Homogeneous Catalysis: Basic Concepts and Best Practices","10.1021/acscatal.5c06439","https://doi.org/10.1021/acscatal.5c06439","Other / mixed","","Overview / mixed","Reaction mechanism / methodology","Homogeneous catalysis","n/a overview","Methodological overview","n/a overview","N/A"
"paper_mlips_dft_2026","2026","2026-04-18","Foundation MLIPs and DFT in Homogeneous Catalysis","The Future of Foundation Machine Learning Potentials and DFT in Homogeneous Catalysis: Competition or Synergy?","10.1002/chem.71022","https://doi.org/10.1002/chem.71022","Bayesian / active learning","Physical / interpretable; Mechanistic ML; MLIP / TS acceleration","MLIP / physics acceleration","Ligand space / homogeneous method","Homogeneous catalysis and mechanistic computation","n/a overview","Perspective","n/a overview","N/A"
"paper_compcat_ai_2026","2026","2026-02-20","Boosting Computational Catalysis and Reactivity with AI","Boosting Computational Catalysis and Chemical Reactivity with Artificial Intelligence","10.1021/jacs.5c17786","https://doi.org/10.1021/jacs.5c17786","MLIP / TS acceleration","Mechanistic ML; Inverse / generative","MLIP / physics acceleration","Reaction mechanism / methodology","Computational catalysis and chemical reactivity","n/a overview","Perspective","n/a overview","N/A"
"paper_fastcat_2024","2024","2024-02-27","Autonomous Reaction Pareto-Front Mapping with a Self-Driving Catalysis Laboratory","Autonomous reaction Pareto-front mapping with a self-driving catalysis laboratory","10.1038/s44286-024-00033-5","https://doi.org/10.1038/s44286-024-00033-5","Autonomous / HTE","Bayesian / active learning","Dataset / experimental loop","Hydroformylation","Rh-catalyzed hydroformylation of 1-octene with phosphorus ligands","unspecified","Closed-loop high-pressure/high-temperature gas-liquid experiments with autonomous ligand benchmarking","autonomous closed-loop","Autonomous Pareto-front mapping and reactor benchmarking"
"paper_denmark_catalyst_selection_2024","2024","2024-02-06","Chemoinformatic Catalyst Selection for Cu-Bis(oxazoline) Asymmetric Vinylogous Mukaiyama Aldol Reactions","Chemoinformatic Catalyst Selection Methods for the Optimization of Copper–Bis(oxazoline)-Mediated, Asymmetric, Vinylogous Mukaiyama Aldol Reactions","10.1021/acscatal.3c05903","https://doi.org/10.1021/acscatal.3c05903","Ligand-space / screening","Physical / interpretable","Physical / chemist descriptors","Asymmetric C–C / oxidation","Cu-bis(oxazoline)-mediated asymmetric vinylogous Mukaiyama aldol reaction","200–1000","HTE catalyst survey with chemoinformatic ligand selection","mixed / unspecified","Comparison of unsupervised selection, focused analogues and supervised QSSR"
"paper_corminboeuf_bidentate_2024","2024","2024-06-04","Reaction-Agnostic Featurization of Bidentate Ligands for Bayesian Ridge Regression of Enantioselectivity","Reaction-Agnostic Featurization of Bidentate Ligands for Bayesian Ridge Regression of Enantioselectivity","10.1021/acscatal.4c02452","https://doi.org/10.1021/acscatal.4c02452","Bayesian / active learning","Physical / interpretable","Reusable ligand library","Ligand space / homogeneous method","Four metal-catalyzed asymmetric reactions; bidentate ligand screening",">1000","Cross-reaction bidentate ligand featurization; BDL-Cu-2023 pool of 312 ligands","prospective experimental","Prospective ligand-pool screening for a challenging asymmetric oxy-alkynylation"
"paper_ni_edbo_2024","2024","2024-03-13","Data Science Guided Multiobjective Optimization of a Stereoconvergent Ni-Catalyzed Reduction","Data Science Guided Multiobjective Optimization of a Stereoconvergent Nickel-Catalyzed Reduction of Enol Tosylates to Access Trisubstituted Alkenes","10.1021/acscatal.4c00650","https://doi.org/10.1021/acscatal.4c00650","Autonomous / HTE","Physical / interpretable; Bayesian / active learning","Dataset / experimental loop","Asymmetric hydrogenation / reduction","Ni-catalyzed reduction of enol tosylates to E/Z trisubstituted alkenes",">1000","Only 25 reactions per objective used to optimize within a ~30,000-condition search space","mixed / unspecified","Experimental optimization plus prediction of untested monophosphine ligands"
"paper_cbs_2024","2024","2024-05-16","Leveraging Limited Experimental Data with ML in the Corey-Bakshi-Shibata Reduction","Leveraging Limited Experimental Data with Machine Learning: Differentiating a Methyl from an Ethyl Group in the Corey–Bakshi–Shibata Reduction","10.1021/jacs.4c01286","https://doi.org/10.1021/jacs.4c01286","Mechanistic ML","","Catalyst-state / mechanistic","Asymmetric hydrogenation / reduction","Metal-free CBS reduction of butanone","50–200","~100 high-quality reactions run in triplicate","mixed / unspecified","ML-guided catalyst selection increased ee to 80%"
"paper_pidko_rh_hte_2024","2024","2024","Probing ML Models from HTE Data for Asymmetric Hydrogenation Catalyst Discovery","Probing machine learning models based on high throughput experimentation data for the discovery of asymmetric hydrogenation catalysts","10.1039/D4SC03647F","https://doi.org/10.1039/D4SC03647F","Autonomous / HTE","Physical / interpretable; Transfer / few-shot","Dataset / experimental loop","Asymmetric hydrogenation / reduction","Rh-catalyzed asymmetric hydrogenation of olefins",">1000","3,552 HTE data points across 192 Rh catalysts and five substrates; 960 points used for modeling","scaffold / OOD","Explicit in-domain vs out-of-domain tests; costly descriptors did not rescue difficult OOD prediction"
"paper_delta_phosphine_2024","2024","2024","Tailoring Phosphine Ligands for Improved C-H Activation with Delta-Machine Learning","Tailoring phosphine ligands for improved C–H activation: insights from Δ-machine learning","10.1039/D4DD00037D","https://doi.org/10.1039/D4DD00037D","Ligand-space / screening","Physical / interpretable","Physical / chemist descriptors","C–H functionalization","Phosphine-ligated transition-metal C-H activation","unspecified","Computed ligand chemical space with lower- and higher-level quantum data","mixed / unspecified","Screening and mechanistic interpretation of ligand modifications"
"paper_bisphosphine_multiobjective_2023","2022","2022-12-27","Data-Driven Multi-Objective Optimization of Catalytic Asymmetric Reactions Using Bisphosphine Ligands","Data-Driven Multi-Objective Optimization Tactics for Catalytic Asymmetric Reactions Using Bisphosphine Ligands","10.1021/jacs.2c08513","https://doi.org/10.1021/jacs.2c08513","Ligand-space / screening","Physical / interpretable","Reusable ligand library","Ligand space / homogeneous method","Chiral bisphosphine-controlled asymmetric reaction sequence for an API","200–1000",">550 DFT-characterized bisphosphine ligands","mixed / unspecified","Predicted ligands experimentally improved multiple reaction objectives"
"paper_hyster_sigman_2023","2023","2023-08-02","Using Data Science for Mechanistic Insights and Selectivity Predictions in a Non-Natural Biocatalytic Reaction","Using Data Science for Mechanistic Insights and Selectivity Predictions in a Non-Natural Biocatalytic Reaction","10.1021/jacs.3c03639","https://doi.org/10.1021/jacs.3c03639","Mechanistic ML","Physical / interpretable","Physical / chemist descriptors","Biocatalysis","Non-natural ene-reductase catalysis (GluER-T36A)","unspecified","Substrate/mutant reaction-space dataset","mixed / unspecified","Out-of-sample substrates and enzyme mutants"
"paper_sobo_2023","2023","2023-07-31","Hybrid ML Prediction of Site Selectivity in Iridium-Catalyzed Arene Borylation","Hybrid Machine Learning Approach to Predict the Site Selectivity of Iridium-Catalyzed Arene Borylation","10.1021/jacs.3c04986","https://doi.org/10.1021/jacs.3c04986","Mechanistic ML","Physical / interpretable; 3D / deep learning","Catalyst-state / mechanistic","C–H functionalization","Ir-catalyzed arene C-H borylation","unspecified","Hybrid computed and experimental site-selectivity data","prospective experimental","Prospective pharmaceutical-intermediate predictions; outperformed prior ML and human experts"
"paper_palladaelectro_2024","2024","2024-07","ML-Guided Yield Optimization for Palladaelectro-Catalyzed Annulation","Machine learning-guided yield optimization for palladaelectro-catalyzed annulation reaction","10.1016/j.chempr.2024.03.027","https://doi.org/10.1016/j.chempr.2024.03.027","Other / mixed","Physical / interpretable","Dataset / experimental loop","Electrocatalysis","Enantioselective palladaelectro-catalyzed C-H annulation","unspecified","High-dimensional electrochemical condition space including electrodes, electrolyte, solvent and potential/current","mixed / unspecified","ML-guided identification of high-yield conditions in expanded chemical space"
"paper_kulik_space_2023","2023","2023-06-20","Identifying Underexplored Regions in Transition-Metal-Complex Chemical Space","Identifying Underexplored and Untapped Regions in the Chemical Space of Transition Metal Complexes","10.1021/acs.jpclett.3c01214","https://doi.org/10.1021/acs.jpclett.3c01214","Ligand-space / screening","","Reusable ligand library","Reaction mechanism / methodology","Mononuclear transition-metal complex space",">1000",">240,000 crystallized mononuclear TMCs","mixed / unspecified","Analysis of coordination, metal and donor-space undersampling"
"paper_kulik_manybody_2024","2024","2024-11-28","Ligand Many-Body Expansion for Accelerating Transition-Metal-Complex Discovery","Ligand Many-Body Expansion as a General Approach for Accelerating Transition Metal Complex Discovery","10.1021/acs.jcim.4c01728","https://doi.org/10.1021/acs.jcim.4c01728","Transfer / few-shot","","Reusable ligand library","Ligand space / homogeneous method","Octahedral and square-pyramidal TMCs relevant to catalysis","unspecified","Enumerated ligand combinations with DFT and high-level reference energetics","mixed / unspecified","Predicts unseen low-symmetry complex and model catalytic reaction energies"
"paper_latent_transfer_2024","2023","2023-12-19","Latent Variable ML Framework for Catalysis: General Models, Transfer Learning, and Interpretability","Latent Variable Machine Learning Framework for Catalysis: General Models, Transfer Learning, and Interpretability","10.1021/jacsau.3c00419","https://doi.org/10.1021/jacsau.3c00419","Transfer / few-shot","Physical / interpretable","Overview / mixed","Reaction mechanism / methodology","Catalytic adsorption energies on alloy surfaces; framework aimed at reusable catalysis models","n < 50","Multi-species and multifidelity catalytic datasets; transfer with ~10 target points","mixed / unspecified","Cross-species, cross-computational-setup and computation-to-experiment transfer"
"paper_resource_hydroformylation_2025","2025","2025-11-15","Bayesian Optimization for Resource-Efficient Hydroformylation","Bayesian Optimization for Resource-Efficient Hydroformylation","10.1021/acscatal.5c06595","https://doi.org/10.1021/acscatal.5c06595","Autonomous / HTE","Bayesian / active learning","Dataset / experimental loop","Hydroformylation","Rh-catalyzed hydroformylation of vinyl arenes","50–200","7D search space of ~2.9 billion combinations explored in 88 experiments","mixed / unspecified","Maintained conversion/selectivity while reducing reaction time and Rh loading by 10-30x"
"paper_organocat_review_2024","2024","2024-09-10","Catalysing (Organo-)Catalysis: ML Trends in Enantioselective Organocatalysis","Catalysing (organo-)catalysis: Trends in the application of machine learning to enantioselective organocatalysis","10.3762/bjoc.20.196","https://doi.org/10.3762/bjoc.20.196","Other / mixed","","Overview / mixed","Organocatalysis","Enantioselective organocatalysis","n/a overview","Review of historical and recent ML applications in organocatalysis","n/a overview","N/A"
